KPN,Description,Type,Cost
201556,CHECKVIDEO CV182 L STYLE MOUNT CAP,CCTV,18
201555,CHECKVIDEO CV182 MOUNT ARM ADAPTOR FOR L STYLE CAP,CCTV,12
201549,"Dell Optiplex 5080 SFF, 500GB HD, 32GB RAM, AMD Radeon GC",Computer,1155.35
201548,"4.0 MP WDR, LightCatcher, Indoor Dome 3.3-9mm f/1.3 P-iris lens, Integrated IR, Next-Generation Analytics",CCTV,818.28
201546,CV182 9MP SMART PANORAMIC CAMERA,CCTV,540
201538,"ES 8-Port Appliance, 8TB, ACC and Analytic licenses sold separately",CCTV,1406.47
201536,Single Gang (Universal) Reader,READERS,138.77
201529,FTS Wall Mount Assembly Complete w/Wiring,TEST,31.76
201528,FTS Kiosk EP Assembly Complete w/Wiring,TEST,1192
201522,*Discontinued product,CCTV,332.9
201516,AXIS T91H61 Wall Mount,CCTV,145.27
201506,"Schlage BE467F GRW Smart Deadbolt, 626 Satin Chrome",LOCK,229.07
201504,Schlage NDE-PD-SPA-626 Satin Chrome Engage Series Cylindrical ,LOCK,504.36
201503,SAFE Modified V6U Enclosure w/V6T-AU for ue with 10P PoE Switch,BOXES,403
201488,"Ubiquiti ES-8-150W. Mng PoE+ Gig Switch. 2 SFP, Edge Switch 8",COMM,253.36
201479,12x12x42 Pedestal “DO NOT USE”,MISC,99.03
201473,*Discontinued product,SCANNER,0
201469,"Schlage FE410F GRW/LAT, 619 Satin Nickel, 5..5"" CTC",LOCK,338.69
201468,"Aiphone IX-SS-2G DG Door Station Flush Mount, SS",COMM,576.99
201466,"BEA 10MS11S SG, Touchless Exit Switch SS, Wave-to-Open",BUTTONS,175.59
201457,Face Temperature Scanner,SCANNER,430
201455,CV155A AUDIO ENABLED 4MP INDOOR MICRO DOME CAMERA,CCTV,152.42
201452,Thermo Sentry Camera,CCTV,8000
201442,"Cradlepoint COR IBR650C, NO WIFI/MULTICARRIER",CCTV,473.98
201437,"AXIS C1310-E, Network Horn Speaker, 01796-001",MISC,482.09
201408,Axis T8134 60W Midspan 5900-334,CCTV,116.07
201405,Bosch DS9360 Ceiling Mount PIR/Microwave 360 Deg. Motion UL,TEST,118.54
201401,Cambo Group CAT6 UTP CMP 23AWG Bare Copper 1000',WIRE,0.29
201395,"3.0 MP WDR, LightCatcher, Day/Night Indoor Dome,  3.9mm f/1.4 , Integrated IR, ; (No Analytics)",CCTV,400.72
201392,Safe 1350 Salto Enclosure Assembled Complete w/o Router,BOXES,736.3
201391,"3.0 MP WDR, LightCatcher Day/Night, Outdoor Dome, 3.1-8.4mm f/1.6 , Integrated IR, ; H5 (No Analytics)",CCTV,362.18
201390,"3.0 MP WDR, LightCatcher Day/Night Indoor/Outdoor Bullet Camera, 3.1-8.4mm f/1.6 , Integrated IR, ; H5 (No Analytics)",CCTV,531.99
